1 epoch, LR 0.001000, LOSS 9.661726, ACC 3.00%, EER 6.09%, bestEER 6.09%
2 epoch, LR 0.000970, LOSS 6.022930, ACC 13.68%, EER 4.27%, bestEER 4.27%
3 epoch, LR 0.000941, LOSS 5.026503, ACC 21.44%, EER 3.54%, bestEER 3.54%
4 epoch, LR 0.000913, LOSS 4.465124, ACC 27.04%, EER 2.69%, bestEER 2.69%
5 epoch, LR 0.000885, LOSS 4.087733, ACC 31.42%, EER 2.70%, bestEER 2.69%
6 epoch, LR 0.000859, LOSS 3.810775, ACC 34.87%, EER 2.30%, bestEER 2.30%
7 epoch, LR 0.000833, LOSS 3.600660, ACC 37.69%, EER 2.26%, bestEER 2.26%
8 epoch, LR 0.000808, LOSS 3.425371, ACC 40.13%, EER 2.23%, bestEER 2.23%
9 epoch, LR 0.000784, LOSS 3.290739, ACC 42.08%, EER 1.95%, bestEER 1.95%
10 epoch, LR 0.000760, LOSS 3.169143, ACC 43.86%, EER 1.84%, bestEER 1.84%
11 epoch, LR 0.000737, LOSS 3.067407, ACC 45.33%, EER 1.94%, bestEER 1.84%
12 epoch, LR 0.000715, LOSS 2.978533, ACC 46.74%, EER 1.73%, bestEER 1.73%
13 epoch, LR 0.000694, LOSS 2.897168, ACC 48.03%, EER 1.81%, bestEER 1.73%
14 epoch, LR 0.000673, LOSS 2.830127, ACC 49.03%, EER 1.66%, bestEER 1.66%
15 epoch, LR 0.000653, LOSS 2.765907, ACC 50.07%, EER 1.63%, bestEER 1.63%
16 epoch, LR 0.000633, LOSS 2.705889, ACC 50.98%, EER 1.67%, bestEER 1.63%
17 epoch, LR 0.000614, LOSS 2.652962, ACC 51.87%, EER 1.56%, bestEER 1.56%
18 epoch, LR 0.000596, LOSS 2.601727, ACC 52.68%, EER 1.64%, bestEER 1.56%
19 epoch, LR 0.000578, LOSS 2.549031, ACC 53.54%, EER 1.40%, bestEER 1.40%
20 epoch, LR 0.000561, LOSS 2.506902, ACC 54.25%, EER 1.46%, bestEER 1.40%
21 epoch, LR 0.000544, LOSS 2.459448, ACC 55.05%, EER 1.45%, bestEER 1.40%
22 epoch, LR 0.000527, LOSS 2.422986, ACC 55.63%, EER 1.36%, bestEER 1.36%
23 epoch, LR 0.000512, LOSS 2.382256, ACC 56.33%, EER 1.44%, bestEER 1.36%
24 epoch, LR 0.000496, LOSS 2.346325, ACC 56.89%, EER 1.42%, bestEER 1.36%
25 epoch, LR 0.000481, LOSS 2.310178, ACC 57.56%, EER 1.44%, bestEER 1.36%
26 epoch, LR 0.000467, LOSS 2.274903, ACC 58.13%, EER 1.39%, bestEER 1.36%
27 epoch, LR 0.000453, LOSS 2.244280, ACC 58.69%, EER 1.37%, bestEER 1.36%
28 epoch, LR 0.000439, LOSS 2.209828, ACC 59.23%, EER 1.30%, bestEER 1.30%
29 epoch, LR 0.000426, LOSS 2.186517, ACC 59.65%, EER 1.40%, bestEER 1.30%
30 epoch, LR 0.000413, LOSS 2.152501, ACC 60.20%, EER 1.39%, bestEER 1.30%
31 epoch, LR 0.000401, LOSS 2.125061, ACC 60.68%, EER 1.21%, bestEER 1.21%
32 epoch, LR 0.000389, LOSS 2.098246, ACC 61.13%, EER 1.30%, bestEER 1.21%
33 epoch, LR 0.000377, LOSS 2.071863, ACC 61.61%, EER 1.32%, bestEER 1.21%
34 epoch, LR 0.000366, LOSS 2.045102, ACC 62.08%, EER 1.16%, bestEER 1.16%
35 epoch, LR 0.000355, LOSS 2.019080, ACC 62.52%, EER 1.26%, bestEER 1.16%
